trail_id,segment,lat,lng,elevation_m,segment_status
1,1,47.3769,8.5417,820,safe
1,2,47.3801,8.5489,870,safe
1,3,47.3834,8.5561,930,caution
1,4,47.3867,8.5612,1010,caution
1,5,47.3901,8.5678,1100,risk
1,6,47.3934,8.5723,1250,risk
1,7,47.3967,8.5789,1420,caution
1,8,47.4001,8.5834,1567,safe
2,1,47.4123,8.6021,640,safe
2,2,47.4156,8.6078,680,safe
2,3,47.4189,8.6134,720,safe
2,4,47.4212,8.6189,760,safe
2,5,47.4178,8.6245,720,safe
2,6,47.4145,8.6189,680,safe
2,7,47.4123,8.6021,640,safe
3,1,47.2891,8.4756,2100,caution
3,2,47.2912,8.4834,2150,caution
3,3,47.2934,8.4912,2220,risk
3,4,47.2956,8.4989,2280,risk
3,5,47.2978,8.5067,2350,danger
3,6,47.3001,8.5145,2420,danger
3,7,47.3023,8.5223,2480,risk
4,1,47.3456,8.5892,450,safe
4,2,47.3478,8.5945,455,safe
4,3,47.3501,8.5978,460,safe
4,4,47.3523,8.5945,458,safe
4,5,47.3501,8.5912,455,safe
4,6,47.3478,8.5912,452,safe
4,7,47.3456,8.5892,450,safe
5,1,47.4567,8.4234,750,safe
5,2,47.4589,8.4312,800,safe
5,3,47.4612,8.4389,870,caution
5,4,47.4634,8.4467,950,caution
5,5,47.4612,8.4545,900,safe
5,6,47.4578,8.4512,840,safe
5,7,47.4545,8.4445,790,safe
5,8,47.4567,8.4234,750,safe
6,1,47.2234,8.6789,1800,risk
6,2,47.2256,8.6867,1900,risk
6,3,47.2278,8.6945,2000,danger
6,4,47.2301,8.7023,2120,danger
6,5,47.2323,8.7101,2240,danger
6,6,47.2345,8.7178,2350,danger
7,1,47.5012,8.5123,420,safe
7,2,47.5034,8.5178,422,safe
7,3,47.5056,8.5223,425,safe
7,4,47.5034,8.5267,423,safe
7,5,47.5012,8.5245,421,safe
7,6,47.4989,8.5189,419,safe
7,7,47.5012,8.5123,420,safe
8,1,47.3234,8.4567,680,safe
8,2,47.3256,8.4634,700,safe
8,3,47.3278,8.4712,740,caution
8,4,47.3301,8.4789,780,caution
8,5,47.3323,8.4867,800,safe
8,6,47.3345,8.4934,820,safe
9,1,47.4789,8.6234,1200,safe
9,2,47.4812,8.6312,1280,caution
9,3,47.4834,8.6389,1360,caution
9,4,47.4856,8.6467,1450,risk
9,5,47.4878,8.6545,1540,risk
9,6,47.4901,8.6623,1620,caution
10,1,47.3901,8.5678,600,safe
10,2,47.3923,8.5734,605,safe
10,3,47.3945,8.5789,610,safe
10,4,47.3923,8.5845,608,safe
10,5,47.3901,8.5823,606,safe
10,6,47.3878,8.5767,602,safe
10,7,47.3901,8.5678,600,safe
